Time (s),Position X (m),Position Y (m),Velocity (m/s),Heading,Length (m),Width (m),Vehicle Number,TDM (s),MFD (m),EI (m/s)
0.460118,-143.335,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.470121,-1.75045,-27.6007,-0.000376269,1.570152745,4.72,1.83,1,,,
0.470121,-143.169,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.480123,-1.75045,-27.6007,-0.000375897,1.570152745,4.72,1.83,1,,,
0.480123,-143.002,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.490126,-1.75045,-27.6007,-0.000365411,1.570152745,4.72,1.83,1,,,
0.490126,-142.836,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.500128,-1.75045,-27.6007,-0.000347392,1.570152745,4.72,1.83,1,,,
0.500128,-142.669,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.510131,-1.75045,-27.6007,-0.000324914,1.570152745,4.72,1.83,1,,,
0.510131,-142.502,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.520133,-1.75045,-27.6007,-0.000300567,1.570152745,4.72,1.83,1,,,
0.520133,-142.335,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.530136,-1.75045,-27.6007,-0.000276228,1.570152745,4.72,1.83,1,,,
0.530136,-142.167,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.540139,-1.75045,-27.6007,-0.000253051,1.570152745,4.72,1.83,1,,,
0.540139,-142.0,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.550141,-1.75045,-27.6007,-0.000232219,1.570152745,4.72,1.83,1,,,
0.550141,-141.833,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.560144,-1.75045,-27.6007,-0.000214552,1.570152745,4.72,1.83,1,,,
0.560144,-141.667,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.570146,-1.75045,-27.6007,-0.000200464,1.570152745,4.72,1.83,1,,,
0.570146,-141.501,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.580149,-1.75045,-27.6007,-0.000189678,1.570152745,4.72,1.83,1,,,
0.580149,-141.335,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.590151,-1.75045,-27.6007,-0.000182373,1.570152745,4.72,1.83,1,,,
0.590151,-141.169,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.600154,-1.75045,-27.6007,-0.000177969,1.570152745,4.72,1.83,1,,,
0.600154,-141.003,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.610157,-1.75045,-27.6007,-0.000175991,1.570152745,4.72,1.83,1,,,
0.610157,-140.836,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.620159,-1.75045,-27.6007,-0.000176154,1.570152745,4.72,1.83,1,,,
0.620159,-140.668,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.630162,-1.75045,-27.6008,-0.000177906,1.570152745,4.72,1.83,1,,,
0.630162,-140.501,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.640164,-1.75045,-27.6008,-0.000180722,1.570152745,4.72,1.83,1,,,
0.640164,-140.334,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.650167,-1.75045,-27.6008,-0.000184104,1.570152745,4.72,1.83,1,,,
